;Sinantonimias	;1300,00;Madera;	0;15; 0
;Sistema pictografico	;9000,00;Madera;	0;15; 0
;Sumitas	;1500,00;Madera;	0;15; 0
;Tactilo visual	;1200,00;Madera;	0;15; 0
;Taller de redacción ;3000,00;Madera;	0;15; 0
;Taller de redacción 2	;3600,00;Madera;	0;15; 0
;Tangran Con CD	;660,00;Madera;	0;15; 0
;Texturas	;1100,00;Madera;	0;15; 0
;Timo y los colores;1400,00;Madera;0;15; 0
;Trencito	;1400,00;Madera;	0;15; 0
;Tren de palabras	;1500,00;Madera;	0;15; 0
;Triominó	;900,00;Madera;	0;15; 0
;Zapato enhebrador;500,00;Madera;0;15; 0
;Abrojitos forma, color y tama�o 20 piezas;2200,00;Goma Espuma ;0;1;0
;Abrojitos forma y tama�o 9 piezas;800,00;Goma Espuma;0;1;	0
;Almohadita bebe;1300,00;Goma Espuma; 0; 1; 0
;Animales (vaca, caracol, rana, elefante);1800,00;Goma Espuma ;	0;	1;	0
;Animales (puercoespín, tortuga) ;1600,00;Goma Espuma ;	0;	1;	0
;Bloques en goma espuma;1800,00;Goma Espuma ;	0;	1;	0
;Cama elástica mini tramp;	;Goma Espuma ;	0;	1;	0
;Cilindro de goma espuma y tela de 20cm	;2200,00;Goma Espuma;	0;	1;	0
;Cilindro de goma espuma y cuerina de 30x30cm;1800,00;Goma Espuma;0;1;	0
;Cilindro de goma espuma y cuerina de 30cmx80 cm;3500,00;Goma Espuma;0;1;	0
;Cilindro de goma espuma y cuerina de 60x30cm;4900,00;Goma Espuma; 0; 1; 0
;Cilindro de goma espuma y cuerina de 60cmx1m;13500,00;Goma Espuma; 0; 1; 0
;Cilindro de goma espuma y tela de 40cm;6000,00;Goma Espuma; 0; 1; 0
;Cilindro de goma espuma con caritas;1800,00;Goma Espuma; 0; 1; 0
;Cilindro de goma espuma hueco 80 cm de diámetro	;16500,00;Goma Espuma; 	0; 1; 0
;Colchoneta con apliques 1,90x1x0,02m 	;4600,00;Goma Espuma; 	0; 1; 0
;Colchoneta trencito 1,4x1,4m;4500,00;Goma Espuma; 0; 1; 0
;Colchoneta 1x0.90x0,05m	;3700,00;Goma Espuma; 0; 1; 0
;Colchoneta 1.20x0,50x0,05 	;2400,00;Goma Espuma; 0; 1; 0
;Colchoneta 1.20x0,80x0,05	;4000,00;Goma Espuma; 0; 1; 0
;Colchoneta 1.50x1,50x0,02 	;4000,00;Goma Espuma; 0; 1; 0
;Colchoneta 1.7x0.6x0.07	;4500,00;Goma Espuma; 0; 1; 0
;Colchoneta 1,90x1x0,02m	;4400,00;Goma Espuma; 0; 1; 0
;Colchoneta 1,90x1x0,05m 	;5900,00;Goma Espuma; 0; 1; 0
;Colchoneta 1,90x1,50x0,05m	;9000,00;Goma Espuma; 0; 1; 0
;Colchoneta 1,90x1x0,10m ;11000,00;Goma Espuma; 0; 1; 0
;Colchoneta 3,00 x1,80x0,02 (pista pintada) ;14500,00;Goma Espuma; 0; 1; 0
;	Colchoneta varios tamaños 1mx0,50x0,05 ;2000,00;Goma Espuma; 	0; 1; 0
;	Colchoneta articulada 1x1,90x0,05 ;8500,00;Goma Espuma; 	0; 1; 0
;	Colchoneta desmontable 1x0.5x0.02	;1600,00;Goma Espuma; 	0; 1; 0
;	Comida saludable	;1100,00;Goma Espuma; 	0; 1; 0
;	Conjunto de 3 piezas grandes en goma espuma 	;2700,00;Goma Espuma; 	0; 1; 0
